,Climate,Growth,GDP_per_capita,Unemployment,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
128,91,2%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,46,69,18,32,GBP,$39510.94,$41.00,$2.20,$73.00,$19.00,0.69,159,0.63,0,6,17,University of Leeds,$1300,$1100,$920,"Leeds, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","598,000",Leeds
129,290,0%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,97,74,45,18,EUR,$45888.42,$36.00,$1.00,$86.00,$11.00,0.20,28,0.67,1,30,9,517.09,$970,$750,$520,"Leipzig, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","560,700",Leipzig
130,12.9,0%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,65,43,31,84,EUR,$40374.53,$40.00,$2.50,$64.00,$15.00,0.20,155,1.00,3,31,19,Lille 1 University – Science and Technology,$1200,$940,$710,"Lille, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","478,800",Lille
131,12.5,9%,"$11,817",6%,69.04,✔ Equal,✔ Sexual orientation and gender identity,0.52,0.18,69,145,64,103,PEN,$11817.04,$53.00,$2.20,$32.00,$4.40,0.30,56,0.10,6,19,47,365.47,$750,$610,$470,"Lima, Peru, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and leisure & culture.","8,902,900",Lima
132,218,0%,"$26,975",11%,95.36,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.23,69,88,108,78,EUR,$26974.63,$51.00,$1.40,$45.00,$11.00,0.48,103,0.36,2,9,18,Instituto Superior Técnico Lisboa,$1300,$1100,$800,"Lisbon, one of the oldest cities in the world, is a charming mix of Paris and San Francisco—at a fraction of the price. It offers a relaxed and tolerant environment with great local cuisine. Its central areas are best navigated by foot, allowing you to enjoy the grand architecture and pleasant climate, while its affordable public transportation system offers easy access to the rest of the city.
Lisbon is one of the top ten city matches for 10.4% of Teleport users.","3,015,100",Lisbon
133,89,1%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,54,69,33,23,GBP,$39510.94,$43.00,$1.90,$76.00,$16.00,0.69,160,0.64,0,6,17,University of Liverpool,$1100,$920,$750,"Liverpool, United Kingdom, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, travel connectivity and business freedom.","1,587,200",Liverpool
134,200,4%,"$29,658",12%,70.90,✔ Equal,Sexual orientation only,0.92,0.22,57,56,30,12,EUR,$29657.78,$56.00,$1.30,$46.00,$11.00,0.19,25,0.27,3,14,9,University of Ljubljana,$960,$740,$530,"Ljubljana, Slovenia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Ljubljana is one of the top ten city matches for 1.7% of Teleport users.","307,300",Ljubljana
135,241.4,5%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,212,351,163,265,GBP,$39510.94,$77.00,$2.60,$200.00,$18.00,1.00,357,0.88,0,6,17,Imperial College London,$3200,$2500,$1900,"By Matteo Pozzi

London is packed with endless opportunities: it is one of the world's most inviting cities for startups, as well as home to world-class schools, universities and museums. There is a robust transport network offering fast and easy commuting around London. With its vibrant multicultural environment, London offers an enormous variety of cuisines, recreational opportunities and cultural activities that appeal to virtually any interest.
London is one of the top ten city matches for 17.3% of Teleport users.","15,760,000",London
136,147,3%,"$54,597",5%,93.19,✔ Equal,✔ Sexual orientation and gender identity,0.44,0.09,270,282,227,222,USD,$54596.65,$50.00,$2.60,$88.00,$14.00,0.66,152,0.13,8,61,24,California Institute of Technology,$2700,$2300,$1800,"Los Angeles is a sprawling city of 500 square miles and the heart of a metropolitan area with 18 million residents. It is a fabled California region, home to Hollywood and America's entertainment industry with year-round sunshine, world-famous beaches, and an intense car culture. The ""City of Angels"" is a magnet to people from around the world and a uniquely exciting environment.
Los Angeles is one of the top ten city matches for 11.5% of Teleport users.","19,042,300",Los-Angeles
137,93,3%,"$54,597",5%,71.09,✔ Equal,✖ No protections,0.44,0.06,114,88,55,43,USD,$54596.65,$36.00,$3.10,$56.00,$11.00,0.17,22,0.12,14,120,16,478.04,$1100,$950,$750,"Louisville, Kentucky, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","701,400",Louisville
138,12.9,9%,"$92,049",7%,89.78,✔ Equal,✔ Sexual orientation and gender identity,0.84,0.17,23,20,18,10,EUR,$92048.55,$76.00,$1.70,$48.00,$20.00,0.43,62,0.48,1,15,25,494.80,$2700,$2100,$1500,"Luxembourg, Luxembourg, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Luxembourg is one of the top ten city matches for 1.6% of Teleport users.","126,100",Luxembourg
139,31,0%,"$8,668",10%,71.98,✔ Equal,✔ Sexual orientation and gender identity,0.61,0.20,58,63,24,31,UAH,$8668.33,$16.00,$0.55,$5.50,$3.10,0.15,16,0.60,0,7,No hay dato,No hay dato,$410,$320,$230,"Lviv, Ukraine, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and leisure & culture.","717,800",Lviv
140,12.8,2%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,56,67,51,124,EUR,$40374.53,$57.00,$2.40,$72.00,$16.00,0.39,78,0.81,3,31,19,École Normale Supérieure de Lyon,$1500,$1200,$840,"Lyon, France, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Lyon is one of the top ten city matches for 0.3% of Teleport users.","1,289,700",Lyon
141,90,5%,"$54,597",5%,82.97,✔ Equal,Sexual orientation only,0.73,0.06,122,121,39,34,USD,$54596.65,$41.00,$1.70,$64.00,$14.00,0.13,11,0.11,10,69,24,University of Wisconsin-Madison,$1600,$1300,$1000,"Madison, Wisconsin, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madison is one of the top ten city matches for 2.7% of Teleport users.","366,400",Madison
142,94,2%,"$33,711",20%,0.88,✔ Legal,✔ Legal,✔ Legal,0.21,78,173,134,124,EUR,$33711.41,$46.00,$1.00,$71.00,$13.00,0.69,158,0.48,1,10,22,Autonomous University of Madrid,$1500,$1200,$870,"Madrid, Spain, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Madrid is one of the top ten city matches for 6.3% of Teleport users.","10,070,300",Madrid
143,107,4%,"$33,711",20%,0.88,✔ Legal,✔ Legal,✔ Legal,0.21,49,60,42,33,EUR,$33711.41,$38.00,$0.80,$49.00,$11.00,0.52,115,0.35,1,10,17,490.84,$920,$780,$640,"Malaga, Spain, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.","603,400",Malaga
144,No hay dato,9%,"$45,986",7%,93.59,✔ Equal,✔ Sexual orientation and gender identity,0.10,0.25,103,74,19,30,SEK,$45986.38,$36.00,$1.60,$62.00,$12.00,0.57,126,0.39,1,21,13,481.75,$1300,$1000,$770,"Malmo, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","345,900",Malmo
145,252,2%,"$4,736",6%,83.04,✔ Equal,Sexual orientation only,1.00,0.15,33,43,3,17,NIO,$4736.48,$17.00,$1.10,$4.40,$37.00,0.12,8,No hay dato,5,8,No hay dato,No hay dato,$500,$400,$290,"Managua, Nicaragua, features a very safe living environment. This urban area is consistently ahead in tolerance.","1,056,300",Managua
146,13,4%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,81,111,45,81,GBP,$39510.94,$40.00,$2.40,$78.00,$16.00,0.69,160,0.59,0,6,17,University of Manchester,$1500,$1200,$970,"Manchester, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance.
Manchester is one of the top ten city matches for 1.0% of Teleport users.","1,945,900",Manchester
147,12.5,3%,"$6,962",7%,0.73,✖ Single only,✔ Legal,✖ Not legal,0.12,296,300,140,96,PHP,$6961.63,$43.00,$0.85,$20.00,$4.40,0.39,78,0.14,9,5,No hay dato,No hay dato,$870,$630,$390,"Manila, Philippines, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and leisure & culture.
Manila is one of the top ten city matches for 0.3% of Teleport users.","10,008,200",Manila
148,12.7,1%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,107,61,52,81,EUR,$40374.53,$42.00,$2.00,$56.00,$15.00,0.41,85,0.78,3,31,19,Aix-Marseille University,$1200,$930,$720,"Marseille, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","3,093,900",Marseille
149,12.5,1%,"$13,430",10%,89.16,✔ Equal,Sexual orientation only,0.95,0.16,66,73,49,45,COP,$13430.45,$32.00,$0.92,$29.00,$4.50,0.19,25,No hay dato,26,6,48,University of Antioquia,$620,$510,$400,"Medellin, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, safety and tolerance.
Medellin is one of the top ten city matches for 2.8% of Teleport users.","3,271,300",Medellin
150,12.6,7%,"$46,433",6%,0.79,N/A,✔ Legal,Varies by Region,0.10,140,177,87,125,AUD,$46433.30,$62.00,$4.00,$110.00,$12.00,0.30,56,0.27,1,24,16,University of Melbourne,$1900,$1600,$1300,"Melbourne, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, safety and healthcare.
Melbourne is one of the top ten city matches for 6.7% of Teleport users.","8,223,700",Melbourne
151,118,1%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.10,0.09,91,79,61,52,USD,$54596.65,$35.00,$1.60,$46.00,$15.00,0.21,32,0.12,16,96,16,478.04,$1200,$990,$800,"Memphis, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and leisure & culture.","1,548,200",Memphis
152,12.5,1%,"$17,881",4%,0.61,✔ Legal,✔ Legal,✔ Legal,0.16,152,153,136,217,MXN,$17880.51,$64.00,$1.00,$18.00,$5.60,0.45,94,0.13,11,15,46,National Autonomous University of Mexico,$900,$710,$520,"Mexico City, Mexico, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Mexico City is one of the top ten city matches for 0.7% of Teleport users.","32,933,200",Mexico-City
153,75,3%,"$54,597",5%,67.19,✔ Equal,✖ No protections,0.53,0.07,177,237,113,147,USD,$54596.65,$36.00,$2.20,$100.00,$19.00,0.72,167,0.11,12,98,24,University of Miami,$2400,$1900,$1400,"Miami, Florida, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and leisure & culture.
Miami is one of the top ten city matches for 0.3% of Teleport users.","5,578,900",Miami
154,12.8,1%,"$35,486",11%,0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,94,188,91,195,EUR,$35486.17,$75.00,$2.00,$41.00,$18.00,0.71,164,0.63,1,12,26,Polytechnic University of Milan,$1800,$1500,$1100,"Milan, Italy, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Milan is one of the top ten city matches for 0.1% of Teleport users.","3,956,100",Milan
155,90,0%,"$54,597",5%,82.97,✔ Equal,Sexual orientation only,0.12,0.06,195,177,110,116,USD,$54596.65,$35.00,$2.30,$62.00,$12.00,0.20,30,0.11,10,69,24,Medical College of Wisconsin,$1500,$1200,$940,"Milwaukee, Wisconsin, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and leisure & culture.","1,613,500",Milwaukee
156,96,3%,"$54,597",5%,96.88,✔ Equal,✔ Sexual orientation and gender identity,0.46,0.08,206,197,102,165,USD,$54596.65,$47.00,$2.30,$70.00,$16.00,0.58,130,0.13,8,85,24,University of Minnesota,$1900,$1500,$1200,"Minneapolis-Saint Paul, Minnesota, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and leisure & culture.
Minneapolis-Saint Paul is one of the top ten city matches for 4.5% of Teleport users.","3,236,800",Minneapolis-Saint-Paul
157,13,4%,"$18,161",1%,56.93,✔ Equal,Ambiguous,0.92,0.20,103,106,73,118,BYN,$18161.43,$38.00,$0.83,$15.00,$6.70,0.25,41,0.51,0,7,No hay dato,Belarusian State University,$470,$400,$330,"Minsk, Belarus, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and environmental quality.
Minsk is one of the top ten city matches for 7.2% of Teleport users.","2,097,800",Minsk
158,302,1%,"$20,556",8%,96.40,✔ Equal,✔ Sexual orientation and gender identity,0.95,0.22,62,82,62,69,UYU,$20556.33,$53.00,$2.10,$51.00,$12.00,0.14,12,0.10,12,32,34,410.98,$930,$750,$580,"Montevideo, Uruguay, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in business freedom and tolerance.","1,452,900",Montevideo
159,12.8,4%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,107,84,54,98,CAD,$44843.44,$38.00,$2.50,$63.00,$12.00,0.44,93,0.25,2,31,5,McGill University,$1100,$930,$730,"Montreal is the largest city of Canada's French-speaking region, and a center for finance, aerospace and international organizations. With its unique culture, bilingual residents (French/English) and beautiful architecture, Montreal offers 50 of Canada's National Historic sites—more than any other Canadian city. Add Montreal's tolerant people plus a relatively low cost of living and you get a city worthy of strong consideration.
Montreal is one of the top ten city matches for 15.0% of Teleport users.","4,264,200",Montreal
160,No hay dato,6%,"$24,805",8%,0.16,✖ Single only,✔ Legal,✖ Not legal,0.18,253,289,205,309,RUB,$24805.49,$68.00,$1.10,$36.00,$9.20,1.00,257,0.81,25,9,21,Lomonosov Moscow State University,$1500,$1200,$840,"By Kevin Kiseljov

Moscow is a lively city, rich in history and culture. It is Russia's national center for visual and performing arts and home to some of the best known performance companies in the world. Renowned for its grand architecture, the city boasts excellent travel connections and low cost of living. With more than 12 million residents, Moscow is among the most populous cities in the world, but roughly 40% of its territory is still covered by greenery.
Moscow is one of the top ten city matches for 4.7% of Teleport users.","22,286,900",Moscow
161,12.5,4%,"$5,855",8%,24.29,✔ Equal,Ambiguous,0.55,0.06,142,159,40,105,INR,$5855.31,$36.00,$2.00,$10.00,$6.00,0.40,83,0.68,0,4,No hay dato,Indian Institute of Technology Bombay,$980,$740,$500,"Mumbai, the most populous city in India, offers a wide variety of jobs from conventional industries to IT services. It is also home to the Bollywood film industry. As India's capital of finance, Mumbai has the greatest number of fin-tech startups, while the cost of living and rental prices remain reasonably low.
Mumbai is one of the top ten city matches for 14.2% of Teleport users.","21,842,100",Mumbai
162,12.8,4%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,107,107,99,83,EUR,$45888.42,$56.00,$1.40,$74.00,$16.00,0.81,191,0.80,1,30,10,LMU Munich,$2200,$1800,$1400,"Munich has a strong background in multiple industries, and is now a center for software and biotechnology. It's also the second largest publishing center in the world. People who love sports or nature aren't left out either: the Bavarian Alps allow winter lovers to indulge themselves while FC Bayern Munich is one of the most important football teams in the world.
Munich is one of the top ten city matches for 32.7% of Teleport users.","3,657,500",Munich
163,12.5,14%,"$3,084",40%,0.08,✖ Illegal,✖ Illegal (imprisonment as punishment),✖ Not legal,0.16,55,85,9,28,KES,$3084.43,$81.00,$1.60,$28.00,$6.10,0.36,72,0.10,33,6,No hay dato,University of Nairobi,$920,$680,$440,"Nairobi, Kenya, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","2,814,900",Nairobi
164,12.8,1%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,60,47,21,100,EUR,$40374.53,$44.00,$2.20,$71.00,$17.00,0.30,55,0.70,3,31,19,University of Nantes,$1200,$900,$640,"Nantes, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","623,100",Nantes
165,12.7,-4%,"$35,486",11%,0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,75,65,63,34,EUR,$35486.17,$52.00,$2.20,$50.00,$13.00,0.28,51,0.50,1,12,26,University of Naples Federico II,$930,$770,$610,"Naples, Italy, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in healthcare and tolerance.","1,913,800",Naples
166,103,3%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.65,0.09,148,191,41,61,USD,$54596.65,$38.00,$2.10,$66.00,$14.00,0.27,47,0.11,16,96,24,Vanderbilt University,$1900,$1600,$1200,"Nashville, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.
Nashville is one of the top ten city matches for 0.3% of Teleport users.","530,900",Nashville
167,101,-11%,"$54,597",5%,72.81,✔ Equal,✖ No protections,0.29,0.10,148,133,53,73,USD,$54596.65,$54.00,$3.00,$53.00,$18.00,0.24,,,,,,,$1600,$1400,$1200,"New Orleans, Louisiana, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and leisure & culture.","947,300",New-Orleans
168,107,-1%,"$54,597",5%,86.72,✔ Equal,Sexual orientation only,0.46,0.09,360,286,216,175,USD,$54596.65,$83.00,$2.90,$120.00,$18.00,0.92,220,0.41,4,26,24,Columbia University,$3800,$3100,$2400,"The New York metropolitan area is one of the most populated cities in the world. New York City itself is an international center for numerous industries including finance, theater, television, film, arts, and technology. It is also home to an astonishing 37% of foreign-born residents. Costs are high, but so are the energy levels and ambitious spirit. Whether you're visiting or planning to move, the ""Big Apple"" has something to offer for everyone.
New York is one of the top ten city matches for 13.9% of Teleport users.","28,940,400",New-York
169,No hay dato,-2%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,47,33,29,23,EUR,$40374.53,$57.00,$2.10,$44.00,$20.00,0.43,91,0.86,3,31,19,University of Nice Sophia Antipolis,$1500,$1200,$840,"Nice, France, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.","370,900",Nice
170,336,3%,"$30,769",12%,73.65,✔ Equal,✔ Sexual orientation and gender identity,0.75,0.19,92,104,48,27,EUR,$30769.09,$58.00,$1.40,$49.00,$16.00,0.32,61,No hay dato,2,36,39,University of Cyprus,$750,$600,$460,"Nicosia, Cyprus, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Nicosia is one of the top ten city matches for 0.9% of Teleport users.","234,900",Nicosia
171,139,5%,"$54,597",5%,67.67,✖ Unequal,✖ No protections,0.52,0.08,144,131,81,109,USD,$54596.65,$27.00,$2.70,$45.00,$11.00,0.17,20,0.11,16,121,16,478.04,$1200,$990,$820,"Oklahoma City, Oklahoma, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Oklahoma City is one of the top ten city matches for 1.6% of Teleport users.","1,199,600",Oklahoma-City
172,111,5%,"$54,597",5%,72.81,✔ Equal,✖ No protections,0.42,0.07,150,143,30,64,USD,$54596.65,$36.00,$2.00,$51.00,$10.00,0.16,19,0.12,9,70,24,University of Nebraska Medical Center,$1200,$990,$760,"Omaha, Nebraska, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","639,900",Omaha
173,90,12%,"$54,597",5%,67.19,✔ Equal,✖ No protections,0.48,0.07,231,202,109,86,USD,$54596.65,$38.00,$2.40,$56.00,$15.00,0.64,146,0.11,12,98,16,478.04,$1500,$1300,$1100,"Orlando, Florida, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Orlando is one of the top ten city matches for 0.5% of Teleport users.","1,465,500",Orlando
174,12.6,-1%,"$37,390",3%,0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,218,234,165,102,JPY,$37389.79,$73.00,$1.60,$84.00,$7.50,0.36,71,0.88,0,1,3,Osaka University,$1100,$840,$600,"Osaka, Japan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.","10,762,400",Osaka
175,177,7%,"$66,937",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.45,0.25,120,95,85,159,NOK,$66937.46,$57.00,$3.60,$84.00,$24.00,0.55,123,0.48,2,31,13,University of Oslo,$2200,$1900,$1600,"Oslo, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Oslo is one of the top ten city matches for 0.9% of Teleport users.","1,241,700",Oslo
176,246.7,7%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,65,85,44,41,CAD,$44843.44,$42.00,$2.30,$89.00,$14.00,0.19,26,0.12,2,31,5,University of Ottawa,$1300,$1100,$840,"Ottawa, Canada, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Ottawa is one of the top ten city matches for 6.6% of Teleport users.","1,269,000",Ottawa
177,13.5,6%,"$40,347",9%,77.55,✔ Equal,✔ Sexual orientation and gender identity,0.88,0.24,27,38,21,13,EUR,$40346.97,$64.00,$2.60,$14.00,$56.00,0.10,3,0.44,3,27,6,University of Oulu,$1100,$910,$690,"Oulu, Finland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","211,200",Oulu
178,No hay dato,5%,"$39,511",5%,0.76,✔ Legal,✔ Legal,✔ Legal,0.20,24,23,11,10,GBP,$39510.94,$57.00,$2.80,$86.00,$14.00,1.00,294,0.59,0,6,17,University of Oxford,$2400,$1900,$1400,"Oxford, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","189,000",Oxford
179,No hay dato,1%,"$54,597",5%,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,"Palo Alto, California, is among the top cities with a high quality of education. According to our data, this is a good place to live with high ratings in healthcare, environmental quality and economy.

Palo Alto is part of Silicon Valley and the wider San Francisco Bay Area. For more information on scores and rankings, check San Francisco Bay Area's Teleport profile.","165,100",Palo-Alto
180,102,9%,"$19,455",5%,60.76,✔ Equal,✖ No protections,0.75,0.07,69,96,19,41,PAB,$19455.42,$26.00,$1.50,$6.00,$63.00,0.40,82,No hay dato,15,22,No hay dato,No hay dato,$1400,$1200,$880,"Panama, Panama, features a very safe living environment. Our data reflects that this city has a good ranking in taxation and tolerance.","1,228,800",Panama
181,180,2%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,142,147,119,295,EUR,$40374.53,$72.00,$2.70,$88.00,$17.00,1.00,317,1.00,3,31,19,École Normale Supérieure,$2700,$2000,$1400,"Paris, the most visited city in the world, is a historical, cultural and esthetic gem that has played a major role in European history for centuries. Its overwhelming beauty, architectural wonders and national cuisine call to people from around the world, adding to its exciting and diverse environment. As a global economic center, Paris offers opportunities in a wide range of industries and business markets.
Paris is one of the top ten city matches for 9.5% of Teleport users.","10,913,500",Paris
182,12.5,7%,"$46,433",6%,0.79,N/A,✔ Legal,Varies by Region,0.10,96,97,40,59,AUD,$46433.30,$47.00,$3.80,$83.00,$15.00,0.23,38,0.19,1,24,16,University of Western Australia,$1800,$1700,$1600,"Perth, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","3,152,900",Perth
183,93,0%,"$54,597",5%,80.47,✔ Equal,✖ No protections,0.35,0.08,377,366,174,212,USD,$54596.65,$34.00,$2.40,$88.00,$15.00,0.55,123,0.16,11,129,24,University of Pennsylvania,$2100,$1700,$1200,"Philadelphia, Pennsylvania, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and internet access.
Philadelphia is one of the top ten city matches for 0.4% of Teleport users.","3,833,200",Philadelphia
184,282,12%,"$3,263",0%,55.34,✔ Equal,✖ No protections,0.66,0.10,25,18,7,13,KHR,$3262.55,$50.00,$0.92,$18.00,$5.30,0.15,15,0.10,1,4,No hay dato,No hay dato,$880,$660,$430,"Phnom Penh, Cambodia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.","1,625,600",Phnom-Penh
185,211,13%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.40,0.09,192,175,70,58,USD,$54596.65,$31.00,$2.40,$58.00,$13.00,0.55,121,0.11,14,154,24,Arizona State University,$1300,$1100,$860,"Phoenix, Arizona, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and outdoors.
Phoenix is one of the top ten city matches for 0.2% of Teleport users.","4,423,600",Phoenix
186,12.5,36%,"$14,354",1%,61.15,✔ Equal,✔ Sexual orientation and gender identity,0.42,0.10,112,86,61,30,THB,$14354.30,$48.00,$2.20,$14.00,$5.20,0.21,32,0.15,1,16,43,418.52,$760,$590,$410,"Phuket, Thailand, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and taxation.","340,200",Phuket
187,58,-3%,"$54,597",5%,80.47,✔ Equal,✖ No protections,0.66,0.07,146,174,89,155,USD,$54596.65,$34.00,$2.80,$95.00,$12.00,0.23,38,0.11,11,129,24,Carnegie Mellon University,$1500,$1200,$880,"Pittsburgh, Pennsylvania, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.
Pittsburgh is one of the top ten city matches for 1.0% of Teleport users.","1,507,600",Pittsburgh
188,68,5%,"$54,597",5%,96.88,✔ Equal,✔ Sexual orientation and gender identity,0.64,No hay dato,140,124,77,77,USD,$54596.65,$41.00,$2.60,$94.00,$14.00,0.31,57,0.14,12,93,24,Oregon Health and Science University,$2000,$1700,$1400,"Portland, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Portland, OR is one of the top ten city matches for 0.7% of Teleport users.","2,104,100",Portland-or
189,12.7,-3%,"$26,975",11%,95.36,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.23,84,100,73,126,EUR,$26974.63,$41.00,$1.10,$42.00,$7.70,0.32,61,0.30,2,9,18,University of Porto,$920,$730,$540,"Porto, Portugal, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Porto is one of the top ten city matches for 1.3% of Teleport users.","1,684,200",Porto
190,242,0%,"$16,096",13%,0.60,✔ Legal,✔ Legal,✔ Legal,0.42,164,171,58,89,BRL,$16096.32,$35.00,$2.40,$63.00,$7.40,0.19,27,No hay dato,21,8,52,Pontifical Catholic University of Rio Grande do Sul (PUCRS),$670,$530,$390,"Porto Alegre, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.","1,822,100",Porto-Alegre
